"position","player","dob","club","country"
"MF","Cheikhou Kouyate","December 21, 1989","Nottingham Forest","Senegal"
"MF","Pathe Ciss","March 16, 1994","Rayo Vallecano","Senegal"
"MF","Moustapha Name","May 5, 1995","Monaco","Senegal"
"MF","Loum Ndiaye","December 30, 1996","Pafos","Senegal"
"FW","Boulaye Dia","November 16, 1996","Salernitana","Senegal"
"FW","Ismalia Sarr","February 25, 1998","Watford","Senegal"
"FW","Bamba Dieng","March 23, 2000","Marseille","Senegal"
"FW","Iliman Ndiaye","March 6, 2000","Sheffield United","Senegal"
"FW","Nicolas Jackson","June 20, 2001","Villarreal","Senegal"
"FW","Famara Diedhiou","December 15, 1992","Alanyaspor","Senegal"
"GK","Jordan Pickford","Mar 7, 1994","Everton","England"
"GK","Nick Pope","Apr 19, 1992","Newcastle United","England"
"GK","Aaron Ramsdale","May 14, 1998","Arsenal","England"
"DF","Trent Alexander-Arnold","Oct 7, 1998","Liverpool","England"
"DF","Conor Coady","Feb 25, 1993","Everton","England"
"DF","Eric Dier","Jan 15, 1994","Tottenham","England"
"DF","Harry Maguire","Mar 5, 1993","Manchester United","England"
"DF","Luke Shaw","Jul 12, 1995","Manchester United","England"
"DF","John Stones","May 28, 1994","Manchester City","England"
"DF","Kieran Trippier","Sep 19, 1990","Newcastle United","England"
"DF","Kyle Walker","May 28, 1990","Manchester City","England"
"DF","Ben White","Oct 8, 1997","Arsenal","England"
"MF","Jude Bellingham","Jun 29, 2003","Borussia Dortmund","England"
"MF","Conor Gallagher","Feb 6, 2000","Chelsea","England"
"MF","Jordan Henderson","Jun 17, 1990","Liverpool","England"
"MF","Mason Mount","Jan 10, 1999","Chelsea","England"
"MF","Kalvin Phillips","Dec 2, 1995","Manchester City","England"
"MF","Declan Rice","Jan 14, 1999","West Ham United","England"
"MF","Phil Foden","May 28, 2000","Manchester City","England"
"MF","Jack Grealish","Sep 10, 1995","Manchester City","England"
"FW","Harry Kane","Jul 28, 1993","Tottenham","England"
"FW","James Maddison","Nov 13, 1996","Leicester City","England"
"FW","Marcus Rashford","Oct 31, 1997","Manchester United","England"
"FW","Bukayo Saka","Sep 5, 2001","Arsenal","England"
"FW","Raheem Sterling","Dec 8, 1994","Chelsea","England"
"FW","Callum Wilson","Feb 27, 1992","Newcastle United","England"
"GK","Alireza Beiranvand","Sep 12, 1992","Persepolis","Iran"
"GK","Amir Absedzadeh","Apr 26, 1993","Ponferradina","Iran"
"GK","Hossein Hosseini","May 30, 1992","Esteghlal","Iran"
"GK","Payam Niazmand","Apr 6, 1995","Sepahann","Iran"
"DF","Ehsan Hajsafi","Feb 25, 1990","AEK Athens","Iran"
"DF","Hossein Kanaani","Mar 23, 1994","Al Ahli","Iran"
"DF","Morteza Pouraliganji","Apr 19, 1992","Persepolis","Iran"
"DF","Ramin Rezaelan","Mar 21, 1990","Sepahan","Iran"
"DF","Milad Mohammadi","Sep 29, 1993","AEK Athens","Iran"
"DF","Shojae Khalilzadeh","May 31, 1989","Al-Ahli","Iran"
"DF","Sadegh Moharrami","Mar 24, 1996","Dinamo Zagreb","Iran"
"DF","Majid Hosseini","Jun 20, 1996","Kayserispor","Iran"
"DF","Abolfazi Jalali","Jun 26, 1998","Esteghlal","Iran"
"MF","Vahid Amiri","Apr 2, 1988","Persepolis","Iran"
"MF","Alireza Jahanbakhsh","Aug 11, 1993","Feyenoord","Iran"
"MF","Saeid Ezatolahi","Oct 1, 1996","Vejle","Iran"
"MF","Mehdi Torabi","Sep 10, 1994","Persepolis","Iran"
"MF","Rouzbeh Cheshmi","Jun 24, 1993","Esteghlal","Iran"
"MF","Saman Ghoddos","Sep 6, 1993","Brentford","Iran"
"MF","Ali Gholizadeh","Mar 10, 1996","Charleroi","Iran"
"MF","Ahmad Nourollahi","Jan 2, 1993","Shabab Al-Ahli","Iran"
"MF","Ali Karimi","Feb 11, 1994","Kayserispor","Iran"
"FW","Karim Ansarifard","Apr 3, 1990","Omonia","Iran"
"FW","Sardar Azmoun","Jan 1, 1995","Bayer Leverkusen","Iran"
"FW","Mehdi Taremi","Jul 18, 1992","Porto","Iran"
"GK","Ethan Horvath","Jun 9, 1995","Luton Town","USMNT"
"GK","Sean Johnson","May 31, 1989","New York City FC","USMNT"
"GK","Matt Turner","Jun 24, 1994","Arsenal","USMNT"
"DF","Cameron Carter-Vickers","Dec 31, 1997","Celtic","USMNT"
"DF","Sergiño Dest","Nov 3, 2000","AC Milan","USMNT"
"DF","Aaron Long","Oct 12, 2000","New York Red Bills","USMNT"
"DF","Shaq Moore","Nov 2, 1996","Nashville SC","USMNT"
"DF","Tim Ream","Oct 5, 1987","Fulham","USMNT"
"DF","Antonee Robinson","Aug 8, 1997","Fulham","USMNT"
"DF","Joe Scally","Dec 31, 2002","Borussia Mönchengladbach","USMNT"
"DF","DeAndre Yedlin","Jul 9, 1993","Inter Miami","USMNT"
"DF","Walker Zimmerman","May 19, 1993","Nashville SC","USMNT"
"MF","Brenden Aaronson","Oct 22, 2000","Leeds United","USMNT"
"MF","Kellyn Acosta","Jul 24, 1995","Los Angeles FC","USMNT"
"MF","Tyler Adams","Feb 14, 1999","Leeds United","USMNT"
"MF","Luca de la Torre","May 23, 1998","Celta Vigo","USMNT"
"MF","Weston McKennie","Aug 28, 1998","Juventus","USMNT"
"MF","Yunus Musah","Nov 29, 2002","Valencia","USMNT"
"MF","Cristian Roldan","Jun 3, 1995","Seattle Sounders","USMNT"
"FW","Jesús Ferreira","Dec 24, 2000","Tulsa Roughnecks","USMNT"
"FW","Jordan Morris","Oct 26, 1994","Swansea City","USMNT"
"FW","Christian Pulisic","Sept 18, 1998","Chelsea","USMNT"
"FW","Gio Reyna","Nov 13, 2002","Borussia Dortmund","USMNT"
"FW","Josh Sargent","Feb 20, 2000","Norwich City","USMNT"
"FW","Tim Weah","Feb 22, 2000","Lille","USMNT"
"FW","Haji Wright","Mar 27, 1998","Antalyaspor","USMNT"
"GK","Wayne Hennessey","Jan 24, 1987","Nottingham Forest","Wales"
"GK","Danny Ward","Jun 22, 1993","Leicester City","Wales"
"GK","Adam Davies","Jul 17, 1992","Sheffield United","Wales"
"DF","Ben Davies","April 24, 1993","Tottenham","Wales"
"DF","Ben Cabango","May 30, 2000","Swansea City","Wales"
"DF","Tom Lockyer","Dec 3, 1994","Luton Town","Wales"
"DF","Joe Rodon","Oct 22, 1997","Rennes","Wales"
"DF","Chris Mepham","Nov 5, 1997","Bournemouth","Wales"
"DF","Ethan Ampadu","Sept 14, 2000","Spezia","Wales"
"DF","Chris Gunter","July 21, 1989","AFC Wimbledon","Wales"
"DF","Neco Williams","April 13, 2001","Nottingham Forest","Wales"
"DF","Connor Roberts","Sept 23, 1995","Burnley","Wales"
"MF","Sorba Thomas","Jan 25, 1999","Huddersfield Town","Wales"
"MF","Joe Allen","Mar 14, 2000","Swansea City","Wales"
"MF","Matthew Smith","Nov 22, 1999","MK Dons","Wales"
"MF","Dylan Levitt","Nov 17, 2000","Dundee United","Wales"
"MF","Harry Wilson","Mar 22, 1997","Fulham","Wales"
"MF","Joe Morrell","Jan 3, 1997","Portsmouth","Wales"
"MF","Jonny Williams","Oct 9, 1993","Swindon Town","Wales"
"MF","Aaron Ramsey","Dec 26, 1990","Nice","Wales"
"FW","Rubin Colwill","Apr 27, 2000","Cardiff City","Wales"
"FW","Gareth Bale","Jul 16, 1989","Los Angeles FC","Wales"
"FW","Kieffer Moore","Aug 8, 1992","Bournemouth","Wales"
"FW","Mark Harris","Dec 29, 1998","Cardiff City","Wales"
"FW","Brennan Johnson","May 23, 2001","Nottingham Forest","Wales"
"FW","Dan James","Nov 10, 1997","Fulham","Wales"
"GK","Emiliano Martinez","Sep 2, 1992","Aston Villa","Argentina"
"GK","Franco Armani","Oct 16, 1986","River","Argentina"
"GK","Geronimo Rulli","May 20, 1992","Villarreal","Argentina"
"DF","Nicolas Otamendi","Feb 12, 1988","Benfica","Argentina"
"DF","Marcos Acuna","Oct 28, 1991","Sevilla","Argentina"
"DF","Nicolas Tagliafico","Aug 31, 1992","Lyon","Argentina"
"DF","German Pezzella","Jun 27, 1991","Real Betis","Argentina"
"DF","Nahuel Molina","Apr 6, 1998","Atletico Madrid","Argentina"
"DF","Gonzalo Montiel","Jan 1, 1997","Sevilla","Argentina"
"DF","Juan Foyth","Jan 12, 1998","Villarreal","Argentina"
"DF","Cristian Romero","Apr 27, 1998","Tottenham","Argentina"
"DF","Lisandro Martinez","Jan 18, 1998","Manchester United","Argentina"
"MF","Leandro Paredes","Jun 29, 1994","Juventus","Argentina"
"MF","Rodrigo De Paul","May 24, 1994","Atletico Madrid","Argentina"
"MF","Guido Rodriguez","Apr 12, 1994","Real Betis","Argentina"
"MF","Exequiel Palacios","Oct 5, 1998","Bayer Leverkusen","Argentina"
"MF","Alexis Mac Allister","Dec 24, 1998","Brighton","Argentina"
"MF","Enzo Fernandez","Jan 17, 2001","Benfica","Argentina"
"MF","Alejandro Gomez","Apr 26, 2001","Atlanta United","Argentina"
"FW","Lionel Messi","Jun 24, 1987","PSG","Argentina"
"FW","Lautaro Martinez","Aug 22, 1997","Inter","Argentina"
"FW","Paulo Dybala","Nov 15, 1993","Roma","Argentina"
"FW","Thiago Almada","April 26, 2001","Inter","Argentina"
"FW","Julian Alvarez","Jan 31, 2000","Manchester City","Argentina"
"FW","Angel Di Maria","Feb 14, 1988","Juventus","Argentina"
"FW","Angel Correa","March 9, 1995","Atletico Madrid","Argentina"
"GK","Mohammed Al-Owais","Oct 10, 1991","Al-Hilal","Saudi Arabia"
"GK","Mohammed Al Rubaie","Aug 14, 1997","Al-Ahli","Saudi Arabia"
"GK","Nawaf Al-Aqidi","May 10, 2000","Al-Nassr","Saudi Arabia"
"DF","Yasser Al-Shahrani","May 25, 1992","Al-Hilal","Saudi Arabia"
"DF","Mohammed Al-Breik","Sep 15, 1992","Al-Hilal","Saudi Arabia"
"DF","Ali Al-Bulaihi","Nov 21, 1989","Al-Hilal","Saudi Arabia"
"DF","Sultan Al-Ghanam","May 6, 1994","Al-Nassr","Saudi Arabia"
"DF","Saud Abdulhamid","Jul 18, 1999","Al-Hilal","Saudi Arabia"
"DF","Abdulelah Al-Amri","Jan 15, 1997","Al-Nassr","Saudi Arabia"
"DF","Hassan Tambakti","Feb 9, 1999","Al-Shabab","Saudi Arabia"
"DF","Abdullah Madu","Jul 15, 1993","Al-Nassr","Saudi Arabia"
"MF","Nawaf al-Abed","Jan 26, 1990","Al-Shabab","Saudi Arabia"
"MF","Salman Al-Faraj","Aug 1, 1989","Al-Hilal","Saudi Arabia"
"MF","Salem Al-Dawsari","Aug 19, 1991","Al-Hilal","Saudi Arabia"
"MF","Nawaf Al-Abed","Jan 26, 1990","Al-Shabab","Saudi Arabia"
"MF","Abdullah Otayf","Aug 3, 1992","Al-Hilal","Saudi Arabia"
"MF","Mohamed Kanno","Sep 22, 1994","Al-Hilal","Saudi Arabia"
"MF","Abdulellah Al-Malki","Oct 11, 1994","Al-Hilal","Saudi Arabia"
"MF","Sami Al-Najei","Feb 7, 1997","Al-Nassr","Saudi Arabia"
"MF","Ali Al-Hassan","Mar 4, 1997","Al-Nassr","Saudi Arabia"
"MF","Nasser Al-Dawsari","Dec 19, 1998","Al-Hilal","Saudi Arabia"
"MF","Abdulrahman Al-Aboud","Jun 1, 1995","Al-Ittihad","Saudi Arabia"
"MF","Riyadh Sharahili","Apr 28, 1993","Abha","Saudi Arabia"
"FW","Firas Al-Buraikan","May 14, 2000","Al-Fateh","Saudi Arabia"
"FW","Saleh Al-Shehri","Nov 1, 1993","Al-Hilal","Saudi Arabia"
"FW","Haitham Asiri","Mar 25, 2001","Al-Ahli","Saudi Arabia"
"GK","Guillermo Ochoa","Jul 13, 1985","America","Mexico"
"GK","Alfredo Talavera","Sep 18, 1982","Juarez","Mexico"
"GK","Rodolfo Cota","Jul 3, 1987","Leon","Mexico"
"DF","Hector Moreno","Jan 17, 1988","Monterrey","Mexico"
"DF","Jesus Gallardo","Aug 15, 1994","Monterrey","Mexico"
"DF","Nestor Araujo","Aug 29, 1991","America","Mexico"
"DF","Cesar Montes","Feb 24, 1997","Monterrey","Mexico"
"DF","Jorge Sanchez","Dec 10, 1997","Ajax","Mexico"
"DF","Gerardo Arteaga","Sep 7, 1998","Genk","Mexico"
"DF","Kevin Alvarez","Jan 15, 1999","Pachuca","Mexico"
"DF","Johan Vasquez","Oct 22, 1998","Cremonese","Mexico"
"MF","Andres Guardado","Sep 28, 1986","Real Betis","Mexico"
"MF","Hector Herrera","Apr 19, 1990","Houston Dynamo","Mexico"
"MF","Edson Alvarez","Oct 24, 1997","Ajax","Mexico"
"MF","Orbelin Pineda","Mar 24, 1996","AEK Athens","Mexico"
"MF","Uriel Antuna","Aug 21, 1997","Cruz Azul","Mexico"
"MF","Erick Gutierrez","Jun 15, 1995","PSV","Mexico"
"MF","Carlos Rodriguez","Jan 3, 1997","Cruz Azul","Mexico"
"MF","Roberto Alvarado","Sep 7, 1998","Guadalajara","Mexico"
"MF","Luis Romo","Jun 5, 1995","Monterrey","Mexico"
"MF","Alexis Vega","Nov 25, 1997","Guadalajara","Mexico"
"MF","Luis Chavez","Jan 15, 1996","Pachuca","Mexico"
"FW","Raul Jimenez","May 5, 1991","Wolves","Mexico"
"FW","Hirving Lozano","Jul 30, 1995","Napoli","Mexico"
"FW","Henry Martin","Nov 18, 1992","America","Mexico"
"FW","Rogelio Funes Mori","Mar 5, 1991","Monterrey","Mexico"
"GK","Wojciech Szczesny","April 15, 1990","Juventus","Poland"
"GK","Kamil Grabara","January 8, 1999","FC Copenhagen","Poland"
"GK","Lukasz Skorupski","May 5, 1991","Bologna","Poland"
"DF","Jan Bednarek","April 12, 1996","Aston Villa","Poland"
"DF","Kamil Glik","February 3, 1988","Benevento","Poland"
"DF","Robert Gumny","June 4, 1998","Augsburg","Poland"
"DF","Artur Jedrzejczyk","November 4, 1987","Legia Warsaw","Poland"
"DF","Jakub Kiwior","February 15, 2000","Spezia","Poland"
"DF","Mateusz Wieteska","February 11, 1997","Clermont","Poland"
"DF","Bartosz Bereszynski","July 12, 1992","Sampdoria","Poland"
"DF","Matty Cash","August 7, 1997","Aston Villa","Poland"
"DF","Nicola Zalewski","January 23, 2002","Roma","Poland"
"MF","Krystian Bielik","January 4, 1998","Birmingham City","Poland"
"MF","Przemyslaw Frankowski","April 12, 1995","Lens","Poland"
"MF","Kamil Grosicki","June 8, 1988","Pogon Szczecin","Poland"
"MF","Grzegorz Krychowiak","January 29, 1990","Al-Shabab","Poland"
"MF","Jakub Kaminski","June 5, 2002","Wolfsburg","Poland"
"MF","Michal Skoras","February 15, 2000","Lech Poznan","Poland"
"MF","Damian Szymanski","June 16, 1995","AEK Athens","Poland"
"MF","Sebastian Szymanski","May 10, 1999","Feyenoord","Poland"
"MF","Piotr Zielinski","May 20, 1994","Napoli","Poland"
"MF","Szymon Zurkowski","September 25, 1997","Fiorentina","Poland"
"FW","Robert Lewandowski","August 21, 1988","Barcelona","Poland"
"FW","Arkadiusz Milik","February 28, 1994","Juventus","Poland"
"FW","Krzysztof Piatek","July 1, 1995","Salernitana","Poland"
"FW","Karol Swiderski","January 23, 1997","Charlotte FC","Poland"
"GK","Hugo Lloris","Dec 26, 1986","Tottenham","France"
"GK","Alphonse Areola","Feb 27, 1993","West Ham United","France"
"GK","Steve Mandanda","Mar 28, 1985","Rennes","France"
"DF","Benjamin Pavard","Mar 28, 1996","Bayern Munich","France"
"DF","Jules Kounde","Nov 12, 1998","Barcelona","France"
"DF","Raphael Varane","Apr 25, 1993","Man Utd","France"
"DF","Axel Disasi","Mar 11, 1998","PSG","France"
"DF","William Saliba","Mar 24, 2001","Arsenal","France"
"DF","Theo Hernandez","Oct 6, 1994","AC Milan","France"
"DF","Ibrahima Konate","May 25, 1999","Liverpool","France"
"DF","Dayot Upamecano","Oct 27, 1998","Bayern Munich","France"
"MF","Adrien Rabiot","Apr 3, 1995","Juventus","France"
"MF","Aurelien Tchouaméni","Jan 27, 2000","Real Madrid","France"
"MF","Youssouf Fofana","Jan 10, 1999","Monaco","France"
"MF","Matteo Guendouzi","Apr 14, 1999","Marseille","France"
"MF","Jordan Veretout","Mar 1, 1999","Marseille","France"
"MF","Eduardo Camavinga","Nov 10, 2002","Real Madrid","France"
"FW","Kingsley Coman","Jun 13, 1996","Bayern Munich","France"
"FW","Kylian Mbappe","Dec 20, 1998","PSG","France"
"FW","Olivier Giroud","Sept 30, 1986","AC Milan","France"
"FW","Antoine Griezmann","Mar 21, 1991","Atletico Madrid","France"
"FW","Ousmane Dembele","May 15, 1997","Barcelona","France"
"FW","Randal Kolo Muani","Dec 5, 1998","Eintracht Frankfurt","France"
"FW","Marcus Thuram","Aug 6, 1997","Borussia Monchengladbach","France"
"GK","Mat Ryan","Apr 8, 1992","Copenhagen","Australia"
"GK","Danny Vukovic","Mar 27, 1985","Central Coast Mariners","Australia"
"GK","Andrew Redmayne","Jan 13, 1989","Sydney","Australia"
"DF","Aziz Behic","Oct 16, 1990","Dundee United","Australia"
"DF","Milos Degenek","Apr 28, 1994","Columbus Crew","Australia"
"DF","Bailey Wright","July 28, 1992","Sunderland","Australia"
"DF","Fran Karcic","May 12, 1996","Brescia","Australia"
"DF","Harry Souttar","Oct 22, 1998","Stoke City","Australia"
"DF","Nathaniel Atkinson","Jun 13, 1999","Hearts","Australia"
"DF","Joel King","Oct 30, 2000","OB","Australia"
"DF","Kye Rowles","Jun 24, 1998","Hearts","Australia"
"DF","Thomas Deng","Mar 20, 1997","Albirex Niigata","Australia"
"MF","Aaron Mooy","Sep 15, 1990","Celtic","Australia"
"MF","Jackson Irvine","Mar 7, 1993","St Pauli","Australia"
"MF","Ajdin Hrustic","Jul 5, 1996","Hellas Verona","Australia"
"MF","Riley McGree","Nov 2, 1998","Middlesbrough","Australia"
"MF","Keanu Baccus","Jun 7, 1998","St Mirren","Australia"
"MF","Cameron Devlin","Jun 7, 1998","Hearts","Australia"
"FW","Mathew Leckie","Feb 4, 1991","Melbourne City","Australia"
"FW","Awer Mabil","Sep 15, 1995","Cadiz","Australia"
"FW","Jamie Maclaren","Jul 29, 1993","Melbourne City","Australia"
"FW","Mitchell Duke","Jan 18, 1991","Fagiano Okayama","Australia"
"FW","Martin Boyle","Apr 25, 1993","Hibernian","Australia"
"FW","Craig Goodwin","Dec 16, 1991","Adelaide United","Australia"
"FW","Jason Cummings","Aug 1, 1995","Central Coast Mariners","Australia"
"FW","Garang Kuol","Sep 15, 2004","Central Coast Mariners","Australia"
"GK","Kasper Schmeichel","Nov 5, 1986","Nice","Denmark"
"GK","Oliver Christensen","Mar 22, 1999","Hertha Berlin","Denmark"
"GK","Frederik Ronnow","Aug 4, 1992","Union Berlin","Denmark"
"DF","Simon Kjaer","Mar 26, 1989","AC Milan","Denmark"
"DF","Andreas Christensen","Apr 10, 1996","Barcelona","Denmark"
"DF","Jens Stryger Larsen","Feb 21, 1991","Trabzonspor","Denmark"
"DF","Daniel Wass","May 31, 1989","Brondby","Denmark"
"DF","Joakim Maehle","May 20, 1997","Atalanta","Denmark"
"DF","Joachim Andersen","May 31, 1996","Crystal Palace","Denmark"
"DF","Rasmus Kristensen","Jul 11, 1997","Leeds United","Denmark"
"DF","Victor Nelsson","Oct 14, 1998","Galatasaray","Denmark"
"DF","Alexander Bah","Dec 9, 1997","Benfica","Denmark"
"MF","Christian Eriksen","Feb 14, 1992","Manchester United","Denmark"
"MF","Christian Norgaard","Mar 10, 1994","Brentford","Denmark"
"MF","Pierre-Emile Hojbjerg","Aug 5, 1995","Tottenham","Denmark"
"MF","Mathias Jensen","Jan 1, 1996","Brentford","Denmark"
"FW","Martin Braithwaite","Jun 5, 1991","Espanyol","Denmark"
"FW","Andreas Cornelius","Mar 16, 1993","Copenhagen","Denmark"
"FW","Kasper Dolberg","Oct 6, 1997","Sevilla","Denmark"
"FW","Andreas Skov Olsen","Dec 29, 1999","Club Brugge","Denmark"
"FW","Mikkel Damsgaard","Jul 3, 2000","Brentford","Denmark"
"FW","Jonas Wind","Feb 7, 1999","Wolfsburg","Denmark"
"FW","Jesper Lindstrom","Feb 29, 2000","Eintracht Frankfurt","Denmark"
"FW","Yussuf Yurary Poulsen","Jun 15, 1994","RB Leipzig","Denmark"
"GK","Aymen Dahmen","Jan 27, 1997","CS Sfaxien","Tunisia"
"GK","Mouez Hassen","Mar 5, 1995","Club Africain","Tunisia"
"GK","Balbouli","Sep 14, 1984","Etoile du Sahel","Tunisia"
"GK","Bechir Ben Saïd","Nov 29, 1994","

US Monastir","Tunisia"
"DF","Mohamed Drager","Jun 25, 1996","Luzern","Tunisia"
"DF","Wajdi Kechrida","Nov 5, 1995","Atromitos","Tunisia"
"DF","Bilel Ifa","Mar 9, 1990","Kuwait SC","Tunisia"
"DF","Montassar Talbi","May 26, 1998","Lorient","Tunisia"
"DF","Dylan Bronn","Jun 19, 1995","Salernitana","Tunisia"
"DF","Yassine Meriah","Jul 2, 1993","Esperalace","Tunisia"
"DF","Nader Ghandri","Feb 18, 1995","Club Africain","Tunisia"
